index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
1,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,15.0,15.0,63.0,63.0,4.907e-11,5.79e-11,5.348e-11,25.0,1
2,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,15.0,15.0,65.0,65.0,4.911e-11,5.797e-11,5.354e-11,25.0,1
3,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,15.0,15.0,67.0,67.0,4.915e-11,5.804e-11,5.36e-11,25.0,1
4,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,15.0,15.0,69.0,69.0,4.92e-11,5.813e-11,5.366e-11,25.0,1
5,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,15.0,15.0,71.0,71.0,4.926e-11,5.821e-11,5.374e-11,25.0,1
6,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,17.0,17.0,63.0,63.0,4.915e-11,5.787e-11,5.351e-11,25.0,1
7,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,17.0,17.0,65.0,65.0,4.918e-11,5.793e-11,5.355e-11,25.0,1
8,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,17.0,17.0,67.0,67.0,4.921e-11,5.799e-11,5.36e-11,25.0,1
9,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,17.0,17.0,69.0,69.0,4.925e-11,5.805e-11,5.365e-11,25.0,1
10,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,17.0,17.0,71.0,71.0,4.929e-11,5.811e-11,5.37e-11,25.0,1
11,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,19.0,19.0,63.0,63.0,4.936e-11,5.799e-11,5.367e-11,25.0,1
12,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,19.0,19.0,65.0,65.0,4.937e-11,5.803e-11,5.37e-11,25.0,1
13,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,19.0,19.0,67.0,67.0,4.939e-11,5.807e-11,5.373e-11,25.0,1
14,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,19.0,19.0,69.0,69.0,4.941e-11,5.812e-11,5.377e-11,25.0,1
15,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,19.0,19.0,71.0,71.0,4.945e-11,5.817e-11,5.381e-11,25.0,1
16,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,15.0,15.0,63.0,63.0,4.925e-11,5.829e-11,5.377e-11,25.0,1
17,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,15.0,15.0,65.0,65.0,4.929e-11,5.835e-11,5.382e-11,25.0,1
18,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,15.0,15.0,67.0,67.0,4.934e-11,5.842e-11,5.388e-11,25.0,1
19,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,15.0,15.0,69.0,69.0,4.939e-11,5.85e-11,5.395e-11,25.0,1
20,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,15.0,15.0,71.0,71.0,4.944e-11,5.859e-11,5.401e-11,25.0,1
