index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
1,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,18.0,18.0,67.0,67.0,9.079e-11,9.161e-11,9.12e-11,25.0,1
2,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,18.0,18.0,69.0,69.0,9.082e-11,9.167e-11,9.125e-11,25.0,1
3,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,18.0,18.0,71.0,71.0,9.086e-11,9.174e-11,9.13e-11,25.0,1
4,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,18.0,18.0,73.0,73.0,9.09e-11,9.18e-11,9.135e-11,25.0,1
5,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,18.0,18.0,75.0,75.0,9.095e-11,9.187e-11,9.141e-11,25.0,1
6,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,20.0,20.0,67.0,67.0,9.101e-11,9.175e-11,9.138e-11,25.0,1
7,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,20.0,20.0,69.0,69.0,9.104e-11,9.179e-11,9.141e-11,25.0,1
8,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,20.0,20.0,71.0,71.0,9.106e-11,9.185e-11,9.146e-11,25.0,1
9,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,20.0,20.0,73.0,73.0,9.11e-11,9.189e-11,9.15e-11,25.0,1
10,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,20.0,20.0,75.0,75.0,9.114e-11,9.194e-11,9.154e-11,25.0,1
11,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,22.0,22.0,67.0,67.0,9.131e-11,9.195e-11,9.163e-11,25.0,1
12,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,22.0,22.0,69.0,69.0,9.132e-11,9.2e-11,9.166e-11,25.0,1
13,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,22.0,22.0,71.0,71.0,9.134e-11,9.203e-11,9.168e-11,25.0,1
14,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,22.0,22.0,73.0,73.0,9.137e-11,9.207e-11,9.172e-11,25.0,1
15,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,22.0,22.0,75.0,75.0,9.139e-11,9.212e-11,9.176e-11,25.0,1
16,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,18.0,18.0,67.0,67.0,9.08e-11,9.185e-11,9.133e-11,25.0,1
17,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,18.0,18.0,69.0,69.0,9.083e-11,9.191e-11,9.137e-11,25.0,1
18,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,18.0,18.0,71.0,71.0,9.087e-11,9.197e-11,9.142e-11,25.0,1
19,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,18.0,18.0,73.0,73.0,9.091e-11,9.203e-11,9.147e-11,25.0,1
20,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,18.0,18.0,75.0,75.0,9.095e-11,9.209e-11,9.152e-11,25.0,1
21,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,20.0,20.0,67.0,67.0,9.091e-11,9.189e-11,9.14e-11,25.0,1
22,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,20.0,20.0,69.0,69.0,9.093e-11,9.192e-11,9.143e-11,25.0,1
23,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,20.0,20.0,71.0,71.0,9.095e-11,9.198e-11,9.146e-11,25.0,1
24,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,20.0,20.0,73.0,73.0,9.097e-11,9.202e-11,9.15e-11,25.0,1
25,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,20.0,20.0,75.0,75.0,9.101e-11,9.208e-11,9.154e-11,25.0,1
26,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,22.0,22.0,67.0,67.0,9.108e-11,9.199e-11,9.154e-11,25.0,1
27,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,22.0,22.0,69.0,69.0,9.109e-11,9.203e-11,9.156e-11,25.0,1
28,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,22.0,22.0,71.0,71.0,9.111e-11,9.207e-11,9.159e-11,25.0,1
29,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,22.0,22.0,73.0,73.0,9.113e-11,9.211e-11,9.162e-11,25.0,1
30,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,22.0,22.0,75.0,75.0,9.116e-11,9.215e-11,9.165e-11,25.0,1
31,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,67.0,67.0,9.12e-11,9.245e-11,9.182e-11,25.0,1
32,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,69.0,69.0,9.123e-11,9.25e-11,9.186e-11,25.0,1
33,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,71.0,71.0,9.125e-11,9.256e-11,9.19e-11,25.0,1
34,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,73.0,73.0,9.129e-11,9.261e-11,9.195e-11,25.0,1
35,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,18.0,18.0,75.0,75.0,9.133e-11,9.267e-11,9.2e-11,25.0,1
36,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,67.0,67.0,9.123e-11,9.24e-11,9.182e-11,25.0,1
37,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,69.0,69.0,9.124e-11,9.244e-11,9.184e-11,25.0,1
38,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,71.0,71.0,9.126e-11,9.249e-11,9.188e-11,25.0,1
39,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,73.0,73.0,9.128e-11,9.253e-11,9.191e-11,25.0,1
40,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,20.0,20.0,75.0,75.0,9.132e-11,9.258e-11,9.195e-11,25.0,1
41,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,67.0,67.0,9.132e-11,9.244e-11,9.188e-11,25.0,1
42,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,69.0,69.0,9.133e-11,9.247e-11,9.19e-11,25.0,1
43,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,71.0,71.0,9.135e-11,9.251e-11,9.193e-11,25.0,1
44,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,73.0,73.0,9.136e-11,9.254e-11,9.195e-11,25.0,1
45,3.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,6.0,22.0,22.0,75.0,75.0,9.138e-11,9.258e-11,9.198e-11,25.0,1
46,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,18.0,18.0,67.0,67.0,8.923e-11,9.001e-11,8.962e-11,25.0,1
47,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,18.0,18.0,69.0,69.0,8.926e-11,9.007e-11,8.967e-11,25.0,1
